Q-1,Q,Q+1,Q+2,Q+3,Q+4
1.078428571,1.130714286,1.077714286,0.909571429,1.321428571,1.565285714
1.130714286,1.077714286,0.909571429,1.321428571,1.565285714,1.564142857
1.077714286,0.909571429,1.321428571,1.565285714,1.564142857,2.282714286
0.909571429,1.321428571,1.565285714,1.564142857,2.282714286,2.317285714
1.321428571,1.565285714,1.564142857,2.282714286,2.317285714,1.727142857
1.565285714,1.564142857,2.282714286,2.317285714,1.727142857,2.645285714
1.564142857,2.282714286,2.317285714,1.727142857,2.645285714,6.091
2.282714286,2.317285714,1.727142857,2.645285714,6.091,2.319285714
2.317285714,1.727142857,2.645285714,6.091,2.319285714,1.458
1.727142857,2.645285714,6.091,2.319285714,1.458,2.047857143
2.645285714,6.091,2.319285714,1.458,2.047857143,0.990428571
6.091,2.319285714,1.458,2.047857143,0.990428571,0.326
2.319285714,1.458,2.047857143,0.990428571,0.326,0.242
1.458,2.047857143,0.990428571,0.326,0.242,0.235714286
2.047857143,0.990428571,0.326,0.242,0.235714286,0.201428571
0.990428571,0.326,0.242,0.235714286,0.201428571,0.176428571
0.326,0.242,0.235714286,0.201428571,0.176428571,0.131714286
0.242,0.235714286,0.201428571,0.176428571,0.131714286,0.130571429
0.235714286,0.201428571,0.176428571,0.131714286,0.130571429,0.135285714
0.201428571,0.176428571,0.131714286,0.130571429,0.135285714,0.115857143
0.176428571,0.131714286,0.130571429,0.135285714,0.115857143,0.174428571
0.131714286,0.130571429,0.135285714,0.115857143,0.174428571,0.199428571
0.130571429,0.135285714,0.115857143,0.174428571,0.199428571,0.205571429
0.135285714,0.115857143,0.174428571,0.199428571,0.205571429,0.141428571
0.115857143,0.174428571,0.199428571,0.205571429,0.141428571,0.142571429
0.174428571,0.199428571,0.205571429,0.141428571,0.142571429,0.200428571
0.199428571,0.205571429,0.141428571,0.142571429,0.200428571,0.281285714
0.205571429,0.141428571,0.142571429,0.200428571,0.281285714,0.329714286
0.141428571,0.142571429,0.200428571,0.281285714,0.329714286,0.3
0.142571429,0.200428571,0.281285714,0.329714286,0.3,0.323714286
0.200428571,0.281285714,0.329714286,0.3,0.323714286,0.291285714
0.281285714,0.329714286,0.3,0.323714286,0.291285714,0.254428571
0.329714286,0.3,0.323714286,0.291285714,0.254428571,0.271285714
0.3,0.323714286,0.291285714,0.254428571,0.271285714,0.253285714
0.323714286,0.291285714,0.254428571,0.271285714,0.253285714,0.351285714
0.291285714,0.254428571,0.271285714,0.253285714,0.351285714,0.429
0.254428571,0.271285714,0.253285714,0.351285714,0.429,0.454285714
0.271285714,0.253285714,0.351285714,0.429,0.454285714,0.488428571
0.253285714,0.351285714,0.429,0.454285714,0.488428571,0.478428571
0.351285714,0.429,0.454285714,0.488428571,0.478428571,0.393571429
0.429,0.454285714,0.488428571,0.478428571,0.393571429,0.552142857
0.454285714,0.488428571,0.478428571,0.393571429,0.552142857,0.556571429
0.488428571,0.478428571,0.393571429,0.552142857,0.556571429,0.491571429
0.478428571,0.393571429,0.552142857,0.556571429,0.491571429,0.422428571
0.393571429,0.552142857,0.556571429,0.491571429,0.422428571,0.368714286
0.552142857,0.556571429,0.491571429,0.422428571,0.368714286,0.430857143
0.556571429,0.491571429,0.422428571,0.368714286,0.430857143,0.419857143
0.491571429,0.422428571,0.368714286,0.430857143,0.419857143,0.544142857
0.422428571,0.368714286,0.430857143,0.419857143,0.544142857,0.677285714
0.368714286,0.430857143,0.419857143,0.544142857,0.677285714,0.629285714
0.430857143,0.419857143,0.544142857,0.677285714,0.629285714,0.636142857
0.419857143,0.544142857,0.677285714,0.629285714,0.636142857,1.384142857
0.544142857,0.677285714,0.629285714,0.636142857,1.384142857,1.318571429
0.677285714,0.629285714,0.636142857,1.384142857,1.318571429,1.919714286
0.629285714,0.636142857,1.384142857,1.318571429,1.919714286,2.160142857
0.636142857,1.384142857,1.318571429,1.919714286,2.160142857,4.956571429
1.384142857,1.318571429,1.919714286,2.160142857,4.956571429,3.495714286
1.318571429,1.919714286,2.160142857,4.956571429,3.495714286,4.815428571
1.919714286,2.160142857,4.956571429,3.495714286,4.815428571,3.592714286
